1 | Zero Two | default | T5 / 67 / 84 / 93
72 | Mitsuru | default | T2 / 37 / 32 / 98
73 | Nana | default | T2 / 27 / 92 / 47
74 | Mitsuru | hexagon | T2 / 12 / 100 / 53
75 | 9'alpha | hexagon | T2 / 90 / 15 / 58
76 | Nana | default | T2 / 6 / 90 / 63
77 | 9'epsilon | default | T2 / 7 / 89 / 61
78 | 9'gamma | hexagon | T2 / 18 / 49 / 75
79 | Nana | pulse | T2 / 51 / 26 / 60
80 | 9'delta | hexagon | T2 / 35 / 7 / 93
81 | 9'gamma | default | T2 / 71 / 19 / 44
82 | Mitsuru | default | T2 / 68 / 25 / 40
83 | 9'gamma | default | T2 / 9 / 48 / 74
84 | Mitsuru | hexagon | T2 / 57 / 56 / 13
85 | 9'alpha | default | T2 / 8 / 39 / 77
86 | Nana | default | T2 / 57 / 29 / 19
87 | Nana | default | T2 / 2 / 13 / 87
88 | 9'beta | pulse | T2 / 46 / 25 / 20
89 | 9'alpha | pulse | T2 / 27 / 28 / 9
90 | 9'theta | default | T1 / 88 / 92 / 88
91 | Karina | default | T1 / 95 / 43 / 98
92 | Ikuno | default | T1 / 72 / 65 / 93
93 | 9'zeta | default | T1 / 63 / 88 / 72
94 | Ikuno | hexagon | T1 / 96 / 92 / 33
95 | Karina | default | T1 / 37 / 87 / 90
96 | Kokoro | pulse | T1 / 74 / 88 / 50
97 | Ikuno | hexagon | T1 / 96 / 40 / 73
98 | Karina | hexagon | T1 / 27 / 95 / 83
99 | FranXX | default | T1 / 87 / 78 / 36
100 | Ikuno | default | T1 / 50 / 93 / 48
101 | Naomi | default | T1 / 97 / 34 / 59
102 | 9'eta | default | T1 / 57 / 61 / 71
103 | Naomi | hexagon | T1 / 56 / 95 / 33
104 | Karina | pulse | T1 / 37 / 46 / 99
105 | 9'theta | default | T1 / 55 / 55 / 71
106 | 9'zeta | hexagon | T1 / 91 / 70 / 19
107 | FranXX | default | T1 / 61 / 21 / 96
108 | Kokoro | default | T1 / 82 / 23 / 61
109 | 9'eta | default | T1 / 70 / 37 / 58
110 | 9'eta | hexagon | T1 / 74 / 41 / 49
111 | Karina | default | T1 / 40 / 49 / 74
112 | Kokoro | default | T1 / 97 / 18 / 47
113 | Naomi | hexagon | T1 / 63 / 40 / 57
114 | Futoshi | default | T1 / 66 / 9 / 84
115 | Kokoro | default | T1 / 100 / 57 / 2
116 | Kokoro | hexagon | T1 / 34 / 97 / 21
117 | Kokoro | default | T1 / 69 / 53 / 30
118 | Ikuno | hexagon | T1 / 15 / 66 / 69
119 | Naomi | default | T1 / 61 / 78 / 10
120 | Naomi | hexagon | T1 / 40 / 75 / 33
121 | 9'theta | default | T1 / 56 / 59 / 32
122 | Ikuno | default | T1 / 1 / 68 / 76
123 | Kokoro | default | T1 / 67 / 18 / 57
124 | Futoshi | pulse | T1 / 60 / 26 / 56
125 | Karina | default | T1 / 80 / 50 / 12
126 | 9'zeta | default | T1 / 27 / 58 / 52
127 | 9'eta | cosmic | T1 / 55 / 41 / 40
128 | Ikuno | hexagon | T1 / 99 / 34 / 3
129 | 9'zeta | default | T1 / 37 / 41 / 56
130 | 9'theta | default | T1 / 76 / 49 / 7
131 | Kokoro | hexagon | T1 / 76 / 27 / 26
132 | Karina | default | T1 / 66 / 52 / 4
133 | Futoshi | default | T1 / 90 / 23 / 8
134 | Ikuno | default | T1 / 35 / 39 / 47
135 | Ikuno | default | T1 / 1 / 36 / 81
136 | 9'zeta | default | T1 / 16 / 60 / 40
137 | 9'eta | default | T1 / 17 / 86 / 8
138 | Naomi | default | T1 / 80 / 21 / 7
139 | 9'eta | pulse | T1 / 38 / 63 / 3
140 | 9'eta | default | T1 / 42 / 23 / 36
141 | Kokoro | hexagon | T1 / 1 / 9 / 90
142 | Naomi | default | T1 / 27 / 2 / 70
143 | Kokoro | default | T1 / 26 / 32 / 40
144 | Naomi | default | T1 / 40 / 30 / 26
145 | FranXX | default | T1 / 12 / 45 / 39
146 | 9'zeta | default | T1 / 76 / 16 / 4
147 | Ikuno | default | T1 / 24 / 62 / 6
148 | 9'zeta | default | T1 / 3 / 8 / 79
149 | Kokoro | default | T1 / 65 / 19 / 1
150 | Naomi | hexagon | T1 / 20 / 41 / 22
151 | Kokoro | default | T1 / 29 / 50 / 2
152 | Ikuno | hexagon | T1 / 23 / 8 / 37
153 | 9'eta | default | T1 / 14 / 7 / 41
154 | 9'eta | pulse | T1 / 31 / 17 / 10
155 | Kokoro | hexagon | T1 / 4 / 6 / 28
